001Our first bulletin board meaasge!                 Let us introduce ourselves. We are COBOL The Barbarian      consisiting of teammates:                                   Emily, Jay & Matt!
002Hello                                             World
003Knock, knock                                      Who's there?                                                I did ap.                                                   I did ap who?                                               Ha ha, you did a poo!
004Doctor, doctor!                                   ME: I feel like a pair of curtains!                         DR: Pull yourself together!
005Hey you!                                          How you doin'?
006Stop!                                             In the name of love!
007I really really wanna                             Zig-a-zig-ah!
008Lost & found                                      My marbles!
009Why was six scared of seven?                      Because seven eight nine!
010Guess what?                                       Emily made me do this and now my wrists hurt!
011Eleven!                                           I'm stopping now!
012Tell me it's not true?                            Say it's just a story.
013When will a meteorite make COBOL extinct?         NEVER!
014Testes, 1,2, testes!                              Check.
015How do you like your eggs in the morning?         I like mine fertilised.
016Who let the dogs out?                             Who, who, who, who!
01717 - Seveneteen - 7 Teen                          Yes it is.
018Happy 18th.                                       Make a wish! How do you like them apples?                      Maaaaaaaat Daaaaammmmon!
019I am a princess.                                  I am a princess, duh. I like pretty flowers                 and pretty dresses and my great battleaxe I use             to defeat my foes with
020Have you seen the secret monkey?                  Go to games and watch him enjoy his banana!
021What do you call a monkey in a mine field?        A BaBOOM!                                                   Get it?                                                     BaBOOM...                                                   ...like Baboon.                                             Good right?
